TIME	r_foot_x	r_foot_y	r_foot_z
0.0	0	0	0
0.01	0	0	0
0.02	0	0	0
0.03	0	0	0
0.04	0	0	0
0.05	0	0	0
0.06	0	0	0
0.07	0	0	0
0.08	0	0	0
0.09	0	0	0
0.1	0	0	0
0.11	0	0	0
0.12	0	0	0
0.13	0	0	0
0.14	0	0	0
0.15	0	0	0
0.16	0	0	0
0.17	0	0	0
0.18	0	0	0
0.19	0	0	0
0.2	0	0	0
0.21	0	0	0
0.22	0	0	0
0.23	0	0	0
0.24	0	0	0
0.25	0	0	0
0.26	0	0	0
0.27	0	0	0
0.28	0	0	0
0.29	0	0	0
0.3	0	0	0
0.31	0	0	0
0.32	0	0	0
0.33	0	0	0
0.34	0	0	0
0.35000000000000003	0	0	0
0.36	0	0	0
0.37	0	0	0
0.38	0	0	0
0.39	0	0	0
0.4	0	0	0
0.41000000000000003	0	0	0
0.42	0	0	0
0.43	0	0	0
0.44	0	0	0
0.45	0	0	0
0.46	0	0	0
0.47000000000000003	0	0	0
0.48	0	0	0
0.49	0	0	0
0.5	0	0	0
0.51	0	0	0
0.52	0	0	0
0.53	0	0	0
0.54	0	0	0
0.55	0	0	0
0.56	0	0	0
0.5700000000000001	0	0	0
0.58	0	0	0
0.59	0	0	0
0.6	0	0	0
0.61	0	0	0
0.62	0	0	0
0.63	0	0	0
0.64	0	0	0
0.65	0	0	0
0.66	0	0	0
0.67	0	0	0
0.68	0	0	0
0.6900000000000001	0	0	0
0.7000000000000001	0	0	0
0.71	0	0	0
0.72	0	0	0
0.73	0	0	0
0.74	0	0	0
0.75	0	0	0
0.76	0	0	0
0.77	0	0	0
0.78	0	0	0
0.79	0	0	0
0.8	0.0	0.0	0.0
0.81	0.0	7.709637592770991e-05	7.70666566718009e-05
0.8200000000000001	0.0	0.0003082666266872036	0.00030779148512155856
0.8300000000000001	0.0	0.0006931543045073708	0.0006907519900580862
0.8400000000000001	0.0	0.0012311659404862342	0.0012235870926211618
0.8500000000000001	0.0	0.001921471959676957	0.0019030116872178343
0.8600000000000001	0.0	0.0027630079602323446	0.002724836895290808
0.8700000000000001	0.0	0.003754476354635272	0.0036839958911477014
0.88	0.0	0.004894348370484636	0.004774575140626309
0.89	0.0	0.006180866407751584	0.005989850859999222
0.9	0.0	0.007612046748871316	0.007322330470336308
0.91	0.0	0.009185682617491864	0.008763798791745407
0.92	0.0	0.010899347581163212	0.010305368692688173
0.93	0.0	0.012750399292720283	0.011937535882101278
0.9400000000000001	0.0	0.014735983564590783	0.013650237506511332
0.9500000000000001	0.0	0.016853038769745476	0.015432914190872761
0.9600000000000001	0.0	0.019098300562505267	0.01727457514062632
0.9700000000000001	0.0	0.021468306911925517	0.01916386590360237
0.98	0.0	0.023959403439996887	0.021089138373994218
0.99	0.0	0.026567749056431434	0.023038522606803863
1.0	0.0	0.029289321881345233	0.024999999999999988
1.01	0.0	0.03211992544670581	0.026961477393196116
1.02	0.0	0.03505519516698163	0.028910861626005764
1.03	0.0	0.0380906050690166	0.030836134096397627
1.04	0.0	0.04122147477075269	0.032725424859373686
1.05	0.0	0.044442976698039774	0.03456708580912724
1.06	0.0	0.04775014352840511	0.03634976249348867
1.07	0.0	0.05113787585030451	0.03806246411789872
1.08	0.0	0.05460095002604533	0.03969463130731182
1.09	0.0	0.058134026246257214	0.0412362012082546
1.1	0.0	0.061731656763491044	0.0426776695296637
1.11	0.0	0.06538829429225072	0.04401014914000078
1.12	0.0	0.06909830056250528	0.0452254248593737
1.1300000000000001	0.0	0.0728559550134926	0.04631600410885231
1.1400000000000001	0.0	0.07665546361440947	0.0472751631047092
1.1500000000000001	0.0	0.08049096779838721	0.048096988312782175
1.1600000000000001	0.0	0.08435655349597695	0.04877641290737885
1.17	0.0	0.08824626025421618	0.04930924800994191
1.1800000000000002	0.0	0.09215409042721555	0.04969220851487845
1.19	0.0	0.09607401842409309	0.0499229333433282
1.2000000000000002	0.0	0.10000000000000005	0.05
1.21	0.0	0.10392598157590681	0.0499229333433282
1.22	0.0	0.10784590957278446	0.04969220851487845
1.23	0.0	0.11175373974578372	0.04930924800994192
1.24	0.0	0.11564344650402306	0.048776412907378844
1.25	0.0	0.11950903220161278	0.04809698831278218
1.26	0.0	0.12334453638559051	0.04727516310470921
